"filename", "language", "TypeScript", "SCSS", "HTML", "comment", "blank", "total"
"/Users/erwachen/Desktop/xmly/src/app/pages/album/sizer/sizer.component.html", "HTML", 0, 0, 5, 0, 0, 5
"/Users/erwachen/Desktop/xmly/src/app/pages/album/sizer/sizer.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"/Users/erwachen/Desktop/xmly/src/app/pages/album/sizer/sizer.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"/Users/erwachen/Desktop/xmly/src/app/pages/album/sizer/sizer.component.ts", "TypeScript", 46, 0, 0, 17, 17, 80
"/Users/erwachen/Desktop/xmly/src/app/pages/albums/albums-routing.module.ts", "TypeScript", 11, 0, 0, 0, 3, 14
"/Users/erwachen/Desktop/xmly/src/app/pages/albums/albums.component.html", "HTML", 0, 0, 75, 0, 1, 76
"/Users/erwachen/Desktop/xmly/src/app/pages/albums/albums.component.scss", "SCSS", 0, 224, 0, 2, 1, 227
"/Users/erwachen/Desktop/xmly/src/app/pages/albums/albums.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"/Users/erwachen/Desktop/xmly/src/app/pages/albums/albums.component.ts", "TypeScript", 200, 0, 0, 4, 20, 224
"/Users/erwachen/Desktop/xmly/src/app/pages/albums/albums.module.ts", "TypeScript", 22, 0, 0, 0, 4, 26
"/Users/erwachen/Desktop/xmly/src/app/pages/pages.module.ts", "TypeScript", 11, 0, 0, 0, 4, 15
"/Users/erwachen/Desktop/xmly/src/app/services/apis/albums.service.spec.ts", "TypeScript", 12, 0, 0, 0, 5, 17
"/Users/erwachen/Desktop/xmly/src/app/services/apis/albums.service.ts", "TypeScript", 86, 0, 0, 7, 15, 108
"/Users/erwachen/Desktop/xmly/src/app/services/apis/types.ts", "TypeScript", 105, 0, 0, 4, 18, 127
"/Users/erwachen/Desktop/xmly/src/app/services/business/category.service.spec.ts", "TypeScript", 12, 0, 0, 0, 5, 17
"/Users/erwachen/Desktop/xmly/src/app/services/business/category.service.ts", "TypeScript", 31, 0, 0, 0, 7, 38
"/Users/erwachen/Desktop/xmly/src/app/services/tools/overlay.service.spec.ts", "TypeScript", 12, 0, 0, 0, 5, 17
"/Users/erwachen/Desktop/xmly/src/app/services/tools/overlay.service.ts", "TypeScript", 77, 0, 0, 0, 6, 83
"/Users/erwachen/Desktop/xmly/src/app/services/tools/window.service.spec.ts", "TypeScript", 12, 0, 0, 0, 5, 17
"/Users/erwachen/Desktop/xmly/src/app/services/tools/window.service.ts", "TypeScript", 32, 0, 0, 0, 5, 37
"/Users/erwachen/Desktop/xmly/src/app/share/components/breadcrumb/breadcrumb-item/breadcrumb-item.component.html", "HTML", 0, 0, 8, 0, 0, 8
"/Users/erwachen/Desktop/xmly/src/app/share/components/breadcrumb/breadcrumb-item/breadcrumb-item.component.scss", "SCSS", 0, 9, 0, 0, 0, 9
"/Users/erwachen/Desktop/xmly/src/app/share/components/breadcrumb/breadcrumb-item/breadcrumb-item.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"/Users/erwachen/Desktop/xmly/src/app/share/components/breadcrumb/breadcrumb-item/breadcrumb-item.component.ts", "TypeScript", 14, 0, 0, 0, 5, 19
"/Users/erwachen/Desktop/xmly/src/app/share/components/breadcrumb/breadcrumb.component.html", "HTML", 0, 0, 3, 0, 0, 3
"/Users/erwachen/Desktop/xmly/src/app/share/components/breadcrumb/breadcrumb.component.scss", "SCSS", 0, 15, 0, 0, 1, 16
"/Users/erwachen/Desktop/xmly/src/app/share/components/breadcrumb/breadcrumb.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"/Users/erwachen/Desktop/xmly/src/app/share/components/breadcrumb/breadcrumb.component.ts", "TypeScript", 14, 0, 0, 0, 5, 19
"/Users/erwachen/Desktop/xmly/src/app/share/components/breadcrumb/breadcrumb.module.ts", "TypeScript", 18, 0, 0, 0, 4, 22
"/Users/erwachen/Desktop/xmly/src/app/share/components/checkbox/checkbox-group.component.html", "HTML", 0, 0, 3, 0, 0, 3
"/Users/erwachen/Desktop/xmly/src/app/share/components/checkbox/checkbox-group.component.scss", "SCSS", 0, 2, 0, 1, 0, 3
"/Users/erwachen/Desktop/xmly/src/app/share/components/checkbox/checkbox-group.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"/Users/erwachen/Desktop/xmly/src/app/share/components/checkbox/checkbox-group.component.ts", "TypeScript", 65, 0, 0, 8, 10, 83
"/Users/erwachen/Desktop/xmly/src/app/share/components/checkbox/checkbox.component.html", "HTML", 0, 0, 6, 2, 2, 10
"/Users/erwachen/Desktop/xmly/src/app/share/components/checkbox/checkbox.component.scss", "SCSS", 0, 75, 0, 12, 0, 87
"/Users/erwachen/Desktop/xmly/src/app/share/components/checkbox/checkbox.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"/Users/erwachen/Desktop/xmly/src/app/share/components/checkbox/checkbox.component.ts", "TypeScript", 58, 0, 0, 0, 10, 68
"/Users/erwachen/Desktop/xmly/src/app/share/components/checkbox/checkbox.module.ts", "TypeScript", 18, 0, 0, 0, 4, 22
"/Users/erwachen/Desktop/xmly/src/app/share/components/pagination/pagination.component.html", "HTML", 0, 0, 26, 0, 0, 26
"/Users/erwachen/Desktop/xmly/src/app/share/components/pagination/pagination.component.scss", "SCSS", 0, 55, 0, 0, 0, 55
"/Users/erwachen/Desktop/xmly/src/app/share/components/pagination/pagination.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
